rid, runtime, starttime, endtime, data, bandwidth;
0, 0.255, 105.275, 105.53, 20242800, 635.068235294;
1, 0.017, 105.652, 105.669, 20242800, 9526.02352941;
10, 0.017, 108.802, 108.819, 20242800, 9526.02352941;
11, 0.016, 109.171, 109.187, 20242800, 10121.4;
12, 0.017, 109.498, 109.515, 20242800, 9526.02352941;
13, 0.018, 109.873, 109.891, 20242800, 8996.8;
14, 0.018, 110.207, 110.225, 20242800, 8996.8;
15, 0.018, 110.581, 110.599, 20242800, 8996.8;
16, 0.017, 110.91, 110.927, 20242800, 9526.02352941;
17, 0.016, 111.285, 111.301, 20242800, 10121.4;
18, 0.019, 111.61, 111.629, 20242800, 8523.28421052;
19, 0.019, 111.988, 112.007, 20242800, 8523.28421052;
2, 0.018, 105.981, 105.999, 20242800, 8996.8;
3, 0.018, 106.355, 106.373, 20242800, 8996.8;
4, 0.017, 106.688, 106.705, 20242800, 9526.02352941;
5, 0.019, 107.056, 107.075, 20242800, 8523.28421052;
6, 0.018, 107.388, 107.406, 20242800, 8996.8;
7, 0.018, 107.761, 107.779, 20242800, 8996.8;
8, 0.018, 108.097, 108.115, 20242800, 8996.8;
9, 0.017, 108.471, 108.488, 20242800, 9526.02352941;
